Event ID,TItle,Event description,Venue,Address,City,Event Date ,Time Normalized,Start DateTime,End DateTime,Time Display,Time of Day,Age Tags Clean,Age Simple,Category Clean,Category Tags,Category Order,Cost,Image URL,Event URL,Source,Imported at,Approved,Is Past,Is Live,Verified by Puddles,Last Checked Date,	Checked By,Check Method,Verification Status,	Internal Notes,Longtitide,Display location,Display Location Short,Event Preview,Today,Tomorrow,This Weekend,Day Tag,Happening Now,Starting Soon,Card Substitute,Short Title,Calendar Link,,,,Date Match,🔐 Softr Record ID
,"Summer 2026 Plant a Seed, Read: Wildmind Science","Beautiful and fascinating wildlife live in the fields and forests surrounding our cities and suburbs. You will gain an insight into the secret lives of these intelligent and ecologically important animals with a visit from a live grey fox,...",Los Altos Library,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,7/29/2026,3:30pm to 4:30pm,7/29/2026 3:30PM,7/29/2026 4:30PM,3:30pm to 4:30pm,Late afternoon,"0-2, 2-5, 5+",All,Other,Other,8,,https://sccl.bibliocommons.com/events/uploads/images/full/d3c01ce061370cdb682b7275c35fd7a3/SummerReadingBiblioEvent(760x230px).png,https://sccl.bibliocommons.com/events/69f14e36bd9a3c316a561b4a,,,TRUE,FALSE,TRUE,,,,,,,-122.1133,📍 Los Altos Library,Los Altos Library · Los Altos,Beautiful and fascinating wildlife live in the fields and forests surrounding our cities and suburbs.,FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,7/29 · 3:30 PM–4:30 PM,"Summer 2026 Plant a Seed, Read: Wildmind...",https://calendar.google.com/calendar/render?action=TEMPLATE&text=Summer%202026%20Plant%20a%20Seed%2C%20Read%3A%20Wildmind%20Science&dates=20260729T153000/20260729T163000&details=%F0%9F%93%8D%20Los%20Altos%20Library&location=Los%20Altos%20Library,,,,,
,"Summer 2026 Plant a Seed, Read: Wildmind Science","Beautiful and fascinating wildlife live in the fields and forests surrounding our cities and suburbs. You will gain an insight into the secret lives of these intelligent and ecologically important animals with a visit from a live grey fox,...",Los Altos Library,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,7/29/2026,4:30pm to 5:30pm,7/29/2026 4:30PM,7/29/2026 5:30PM,4:30pm to 5:30pm,Late afternoon,"0-2, 2-5, 5+",All,Other,Other,8,,https://sccl.bibliocommons.com/events/uploads/images/full/d3c01ce061370cdb682b7275c35fd7a3/SummerReadingBiblioEvent(760x230px).png,https://sccl.bibliocommons.com/events/69f14e36bd9a3c316a561b4b,,,TRUE,FALSE,TRUE,,,,,,,-122.1133,📍 Los Altos Library,Los Altos Library · Los Altos,Beautiful and fascinating wildlife live in the fields and forests surrounding our cities and suburbs.,FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,7/29 · 4:30 PM–5:30 PM,"Summer 2026 Plant a Seed, Read: Wildmind...",https://calendar.google.com/calendar/render?action=TEMPLATE&text=Summer%202026%20Plant%20a%20Seed%2C%20Read%3A%20Wildmind%20Science&dates=20260729T163000/20260729T173000&details=%F0%9F%93%8D%20Los%20Altos%20Library&location=Los%20Altos%20Library,,,,,
,Toddler Storytime,"Join the Children's Librarians for a fun, interactive 25-minute toddler storytime for early walkers, 1s, and 2s in the Orchard Room on Wednesday and Thursday mornings. Storytimes will be filled with stories, music, and fun activities!
 
 Due...",Los Altos Library,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,7/30/2026,10:30am to 11:00am,7/30/2026 10:30AM,7/30/2026 11:00AM,10:30am to 11:00am,Morning,"0-2, 2-5, 5+",All,Stories,"Stories, Music & Movement, Outdoor, Social & Play",1,,https://sccl.bibliocommons.com/events/uploads/images/full/9789d6ae7a5db8da406ba9e1d3837e1e/Early Learning & Storytime.jpg,https://sccl.bibliocommons.com/events/69b835bbb48451fc3c094404,,,TRUE,FALSE,TRUE,,,,,,,-122.1133,📍 Los Altos Library,Los Altos Library · Los Altos,"Join the Children's Librarians for a fun, interactive 25-minute toddler storytime for early walkers, 1s, and 2s in the Orchard Room on Wednesday and Thursday mornings.",FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,7/30 · 10:30 AM–11:00 AM,Toddler Storytime,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Toddler%20Storytime&dates=20260730T103000/20260730T110000&details=%F0%9F%93%8D%20Los%20Altos%20Library&location=Los%20Altos%20Library,,,,,
,Preschool Storytime,"Join us for stories, music, movement and more at our preschool storytime in the Orchard Room on Thursday afternoons at 3:30 p.m.
 
 Preschool storytime is suitable for children 3-5 and their caregivers.
 
 For accessibility accommodations...",Los Altos Library,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,7/30/2026,3:30pm to 4:00pm,7/30/2026 3:30PM,7/30/2026 4:00PM,3:30pm to 4:00pm,Late afternoon,"0-2, 2-5, 5+",All,Stories,"Stories, Music & Movement",1,,https://sccl.bibliocommons.com/events/uploads/images/full/9789d6ae7a5db8da406ba9e1d3837e1e/Early Learning & Storytime.jpg,https://sccl.bibliocommons.com/events/69b835b92866a5b488426bd7,,,TRUE,FALSE,TRUE,,,,,,,-122.1133,📍 Los Altos Library,Los Altos Library · Los Altos,"Join us for stories, music, movement and more at our preschool storytime in the Orchard Room on Thursday afternoons at 3:30 p.",FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,7/30 · 3:30 PM–4:00 PM,Preschool Storytime,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Preschool%20Storytime&dates=20260730T153000/20260730T160000&details=%F0%9F%93%8D%20Los%20Altos%20Library&location=Los%20Altos%20Library,,,,,
,Friends of the Los Altos Library Booksale @ Los Altos Community Center,"The Friends of the Los Altos Library Present their Community Book Sale
 
 Fiction & non-fiction books and media for all ages
 Friday, July 31, 6:30 - 9pm. Members only Preview Sale! Join at the door for $10.Saturday, August 1, 10am - 4pmSunday,...",Woodland Branch Library,2026-07-31,,7/31/2026,6:30pm to 9:00pm,7/31/2026 6:30PM,7/31/2026 9:00PM,6:30pm to 9:00pm,Evening,"0-2, 2-5, 5+",All,Stories,"Stories, Social & Play",1,,https://sccl.bibliocommons.com/events/uploads/images/full/76806adb157fd004860e14cabb9ab02d/Used Book Sales.jpg,https://sccl.bibliocommons.com/events/6a29b52ecaf9343600621646,,,TRUE,FALSE,TRUE,,,,,,,,📍 Woodland Branch Library,Woodland Branch Library,"The Friends of the Los Altos Library Present their Community Book Sale Fiction & non-fiction books and media for all ages Friday, July 31, 6:30 - 9pm.",FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,7/31 · 6:30 PM–9:00 PM,Friends of the Los Altos Library Booksal...,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Friends%20of%20the%20Los%20Altos%20Library%20Booksale%20%40%20Los%20Altos%20Community%20Center&dates=20260731T183000/20260731T210000&details=%F0%9F%93%8D%20Woodland%20Branch%20Library&location=Woodland%20Branch%20Library,,,,,
,Friends of the Los Altos Library Booksale @ Los Altos Community Center,"The Friends of the Los Altos Library Present their Community Book Sale
 
 Fiction & non-fiction books and media for all ages
 Friday, July 31, 6:30 - 9pm. Members only Preview Sale! Join at the door for $10.Saturday, August 1, 10am - 4pmSunday,...",Los Altos Library,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,7/31/2026,6:30pm to 9:00pm,7/31/2026 6:30PM,7/31/2026 9:00PM,6:30pm to 9:00pm,Evening,"0-2, 2-5, 5+",All,Stories,"Stories, Social & Play",1,,https://sccl.bibliocommons.com/events/uploads/images/full/76806adb157fd004860e14cabb9ab02d/Used Book Sales.jpg,https://sccl.bibliocommons.com/events/6a29b56c8d1b82ca9f78fc85,,,TRUE,FALSE,TRUE,,,,,,,-122.1133,📍 Los Altos Library,Los Altos Library · Los Altos,"The Friends of the Los Altos Library Present their Community Book Sale Fiction & non-fiction books and media for all ages Friday, July 31, 6:30 - 9pm.",FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,7/31 · 6:30 PM–9:00 PM,Friends of the Los Altos Library Booksal...,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Friends%20of%20the%20Los%20Altos%20Library%20Booksale%20%40%20Los%20Altos%20Community%20Center&dates=20260731T183000/20260731T210000&details=%F0%9F%93%8D%20Los%20Altos%20Library&location=Los%20Altos%20Library,,,,,
,Friends of the Los Altos Library Booksale @ Los Altos Community Center,"The Friends of the Los Altos Library Present their Community Book Sale
 
 Fiction & non-fiction books and media for all ages
 Friday, July 31, 6:30 - 9pm. Members only Preview Sale! Join at the door for $10.Saturday, August 1, 10am - 4pmSunday,...",Woodland Branch Library,2026-08-01,,8/1/2026,10:00am to 4:00pm,8/1/2026 10:00AM,8/1/2026 4:00PM,10:00am to 4:00pm,Morning,"0-2, 2-5, 5+",All,Stories,"Stories, Social & Play",1,,https://sccl.bibliocommons.com/events/uploads/images/full/76806adb157fd004860e14cabb9ab02d/Used Book Sales.jpg,https://sccl.bibliocommons.com/events/6a29b53116554cd59fc7d044,,,TRUE,FALSE,TRUE,,,,,,,,📍 Woodland Branch Library,Woodland Branch Library,"The Friends of the Los Altos Library Present their Community Book Sale Fiction & non-fiction books and media for all ages Friday, July 31, 6:30 - 9pm.",FALSE,FALSE,TRUE,This weekend,FALSE,FALSE,8/1 · 10:00 AM–4:00 PM,Friends of the Los Altos Library Booksal...,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Friends%20of%20the%20Los%20Altos%20Library%20Booksale%20%40%20Los%20Altos%20Community%20Center&dates=20260801T100000/20260801T160000&details=%F0%9F%93%8D%20Woodland%20Branch%20Library&location=Woodland%20Branch%20Library,,,,,
,Friends of the Los Altos Library Booksale @ Los Altos Community Center,"The Friends of the Los Altos Library Present their Community Book Sale
 
 Fiction & non-fiction books and media for all ages
 Friday, July 31, 6:30 - 9pm. Members only Preview Sale! Join at the door for $10.Saturday, August 1, 10am - 4pmSunday,...",Los Altos Library,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,8/1/2026,10:00am to 4:00pm,8/1/2026 10:00AM,8/1/2026 4:00PM,10:00am to 4:00pm,Morning,"0-2, 2-5, 5+",All,Stories,"Stories, Social & Play",1,,https://sccl.bibliocommons.com/events/uploads/images/full/76806adb157fd004860e14cabb9ab02d/Used Book Sales.jpg,https://sccl.bibliocommons.com/events/6a29b5717550c8bf9f5c581f,,,TRUE,FALSE,TRUE,,,,,,,-122.1133,📍 Los Altos Library,Los Altos Library · Los Altos,"The Friends of the Los Altos Library Present their Community Book Sale Fiction & non-fiction books and media for all ages Friday, July 31, 6:30 - 9pm.",FALSE,FALSE,TRUE,This weekend,FALSE,FALSE,8/1 · 10:00 AM–4:00 PM,Friends of the Los Altos Library Booksal...,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Friends%20of%20the%20Los%20Altos%20Library%20Booksale%20%40%20Los%20Altos%20Community%20Center&dates=20260801T100000/20260801T160000&details=%F0%9F%93%8D%20Los%20Altos%20Library&location=Los%20Altos%20Library,,,,,
,Baby Sign and Stay and Play,"Calling all non-walking babies ages 0-12 months for a special storytime featuring American Sign Language along with songs and stories and fun! Please bring a blanket for your baby.
 
 After storytime please stay or join us to play with...",Los Altos Library,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,8/1/2026,10:30am to 12:00pm,8/1/2026 10:30AM,8/1/2026 12:00PM,10:30am to 12:00pm,Morning,0-2,0-2,Stories,"Stories, Music & Movement, Outdoor, Social & Play",1,,https://sccl.bibliocommons.com/events/uploads/images/full/9789d6ae7a5db8da406ba9e1d3837e1e/Early Learning & Storytime.jpg,https://sccl.bibliocommons.com/events/696191ef992fc18a86dc9a3c,,,TRUE,FALSE,TRUE,,,,,,,-122.1133,📍 Los Altos Library,Los Altos Library · Los Altos,Calling all non-walking babies ages 0-12 months for a special storytime featuring American Sign Language along with songs and stories and fun! Please bring a blanket for your baby.,FALSE,FALSE,TRUE,This weekend,FALSE,FALSE,8/1 · 10:30 AM–12:00 PM,Baby Sign and Stay and Play,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Baby%20Sign%20and%20Stay%20and%20Play&dates=20260801T103000/20260801T120000&details=%F0%9F%93%8D%20Los%20Altos%20Library&location=Los%20Altos%20Library,,,,,
,Friends of the Los Altos Library Booksale @ Los Altos Community Center,"The Friends of the Los Altos Library Present their Community Book Sale
 
 Fiction & non-fiction books and media for all ages
 Friday, July 31, 6:30 - 9pm. Members only Preview Sale! Join at the door for $10.Saturday, August 1, 10am - 4pmSunday,...",Los Altos Library,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,8/2/2026,11:00am to 2:00pm,8/2/2026 11:00AM,8/2/2026 2:00PM,11:00am to 2:00pm,Morning,"0-2, 2-5, 5+",All,Stories,"Stories, Social & Play",1,,https://sccl.bibliocommons.com/events/uploads/images/full/76806adb157fd004860e14cabb9ab02d/Used Book Sales.jpg,https://sccl.bibliocommons.com/events/6a29b5768d1b82ca9f78fc87,,,TRUE,FALSE,TRUE,,,,,,,-122.1133,📍 Los Altos Library,Los Altos Library · Los Altos,"The Friends of the Los Altos Library Present their Community Book Sale Fiction & non-fiction books and media for all ages Friday, July 31, 6:30 - 9pm.",FALSE,FALSE,TRUE,This weekend,FALSE,FALSE,8/2 · 11:00 AM–2:00 PM,Friends of the Los Altos Library Booksal...,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Friends%20of%20the%20Los%20Altos%20Library%20Booksale%20%40%20Los%20Altos%20Community%20Center&dates=20260802T110000/20260802T140000&details=%F0%9F%93%8D%20Los%20Altos%20Library&location=Los%20Altos%20Library,,,,,
,Friends of the Los Altos Library Booksale @ Los Altos Community Center,"The Friends of the Los Altos Library Present their Community Book Sale
 
 Fiction & non-fiction books and media for all ages
 Friday, July 31, 6:30 - 9pm. Members only Preview Sale! Join at the door for $10.Saturday, August 1, 10am - 4pmSunday,...",Woodland Branch Library,2026-08-02,,8/2/2026,11:00am to 2:00pm,8/2/2026 11:00AM,8/2/2026 2:00PM,11:00am to 2:00pm,Morning,"0-2, 2-5, 5+",All,Stories,"Stories, Social & Play",1,,https://sccl.bibliocommons.com/events/uploads/images/full/76806adb157fd004860e14cabb9ab02d/Used Book Sales.jpg,https://sccl.bibliocommons.com/events/6a29b53416554cd59fc7d046,,,TRUE,FALSE,TRUE,,,,,,,,📍 Woodland Branch Library,Woodland Branch Library,"The Friends of the Los Altos Library Present their Community Book Sale Fiction & non-fiction books and media for all ages Friday, July 31, 6:30 - 9pm.",FALSE,FALSE,TRUE,This weekend,FALSE,FALSE,8/2 · 11:00 AM–2:00 PM,Friends of the Los Altos Library Booksal...,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Friends%20of%20the%20Los%20Altos%20Library%20Booksale%20%40%20Los%20Altos%20Community%20Center&dates=20260802T110000/20260802T140000&details=%F0%9F%93%8D%20Woodland%20Branch%20Library&location=Woodland%20Branch%20Library,,,,,
,Bilingual Spanish Family Storytime / Hora de cuentos bilingüe para familias,"Join us for stories, songs, and movement in Spanish and English on Tuesday mornings at 10:30 AM! This program is designed for children up to age 5 and their caregivers, and will be held indoors in the Orchard Room.
 
 ¡Venga a la biblioteca...",Los Altos Library,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,8/4/2026,10:30am to 11:00am,8/4/2026 10:30AM,8/4/2026 11:00AM,10:30am to 11:00am,Morning,"0-2, 2-5, 5+",All,Stories,"Stories, Music & Movement, Classes",1,,https://sccl.bibliocommons.com/events/uploads/images/full/0843753b121ce38b9c23bf54bbc99b14/BilingualStoryTimeBiblioBanner-gc.png,https://sccl.bibliocommons.com/events/69b835d42866a5b488426bff,,,TRUE,FALSE,TRUE,,,,,,,-122.1133,📍 Los Altos Library,Los Altos Library · Los Altos,"Join us for stories, songs, and movement in Spanish and English on Tuesday mornings at 10:30 AM! This program is designed for children up to age 5 and their caregivers, and will be held indoors in the Orchard Room.",FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,8/4 · 10:30 AM–11:00 AM,Bilingual Spanish Family Storytime / Hor...,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Bilingual%20Spanish%20Family%20Storytime%20%2F%20Hora%20de%20cuentos%20biling%C3%BCe%20para%20familias&dates=20260804T103000/20260804T110000&details=%F0%9F%93%8D%20Los%20Altos%20Library&location=Los%20Altos%20Library,,,,,
,Bilingual Mandarin Family Storytime / 中英雙語故事時間,"Join us for a fun-filled storytime featuring movement, singing, and action! These 30-minute sessions focus on early literacy by sharing stories and songs in both English and Mandarin Chinese.歡迎小朋友來到故事時間，這是以半小時的雙中英語故事書, 兒歌, 手指謠,...",Los Altos Library,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,8/4/2026,1:00pm to 1:30pm,8/4/2026 1:00PM,8/4/2026 1:30PM,1:00pm to 1:30pm,After lunch,"0-2, 2-5, 5+",All,Stories,"Stories, Music & Movement",1,,https://sccl.bibliocommons.com/events/uploads/images/full/9789d6ae7a5db8da406ba9e1d3837e1e/Early Learning & Storytime.jpg,https://sccl.bibliocommons.com/events/69b835d281b67dfe32acec7d,,,TRUE,FALSE,TRUE,,,,,,,-122.1133,📍 Los Altos Library,Los Altos Library · Los Altos,"Join us for a fun-filled storytime featuring movement, singing, and action! These 30-minute sessions focus on early literacy by sharing stories and songs in both English and Mandarin Chinese.",FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,8/4 · 1:00 PM–1:30 PM,Bilingual Mandarin Family Storytime / 中英...,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Bilingual%20Mandarin%20Family%20Storytime%20%2F%20%E4%B8%AD%E8%8B%B1%E9%9B%99%E8%AA%9E%E6%95%85%E4%BA%8B%E6%99%82%E9%96%93&dates=20260804T130000/20260804T133000&details=%F0%9F%93%8D%20Los%20Altos%20Library&location=Los%20Altos%20Library,,,,,
,Toddler Storytime,"Join the Children's Librarians for a fun, interactive 25-minute toddler storytime for early walkers, 1s, and 2s in the Orchard Room on Wednesday and Thursday mornings. Storytimes will be filled with stories, music, and fun activities!
 
 Due...",Los Altos Library,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,8/5/2026,10:30am to 11:00am,8/5/2026 10:30AM,8/5/2026 11:00AM,10:30am to 11:00am,Morning,"0-2, 2-5, 5+",All,Stories,"Stories, Music & Movement, Outdoor, Social & Play",1,,https://sccl.bibliocommons.com/events/uploads/images/full/9789d6ae7a5db8da406ba9e1d3837e1e/Early Learning & Storytime.jpg,https://sccl.bibliocommons.com/events/69b835c4b48451fc3c09442d,,,TRUE,FALSE,TRUE,,,,,,,-122.1133,📍 Los Altos Library,Los Altos Library · Los Altos,"Join the Children's Librarians for a fun, interactive 25-minute toddler storytime for early walkers, 1s, and 2s in the Orchard Room on Wednesday and Thursday mornings.",FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,8/5 · 10:30 AM–11:00 AM,Toddler Storytime,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Toddler%20Storytime&dates=20260805T103000/20260805T110000&details=%F0%9F%93%8D%20Los%20Altos%20Library&location=Los%20Altos%20Library,,,,,
,Baby Storytime & Stay and Play,"Come join the fun every Wednesday for Baby Storytime & Stay and Play at the Los Altos Library!
 
 We invite all non-walking babies (ages 0-1) and their amazing caregivers to jump into an interactive 20 minutes of:
 
 Catchy Songs & Silly Rhymes...",Los Altos Library,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,8/5/2026,1:00pm to 2:00pm,8/5/2026 1:00PM,8/5/2026 2:00PM,1:00pm to 2:00pm,After lunch,0-2,0-2,Stories,"Stories, Music & Movement, Outdoor, Social & Play",1,,https://sccl.bibliocommons.com/events/uploads/images/full/9789d6ae7a5db8da406ba9e1d3837e1e/Early Learning & Storytime.jpg,https://sccl.bibliocommons.com/events/69b835bdb48451fc3c094417,,,TRUE,FALSE,TRUE,,,,,,,-122.1133,📍 Los Altos Library,Los Altos Library · Los Altos,Come join the fun every Wednesday for Baby Storytime & Stay and Play at the Los Altos Library! We invite all non-walking babies (ages 0-1) and their amazing caregivers to jump into an interactive 20 minutes of: Catchy Songs & Silly Rhymes.,FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,8/5 · 1:00 PM–2:00 PM,Baby Storytime & Stay and Play,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Baby%20Storytime%20%26%20Stay%20and%20Play&dates=20260805T130000/20260805T140000&details=%F0%9F%93%8D%20Los%20Altos%20Library&location=Los%20Altos%20Library,,,,,
,Toddler Storytime,"Join the Children's Librarians for a fun, interactive 25-minute toddler storytime for early walkers, 1s, and 2s in the Orchard Room on Wednesday and Thursday mornings. Storytimes will be filled with stories, music, and fun activities!
 
 Due...",Los Altos Library,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,8/6/2026,10:30am to 11:00am,8/6/2026 10:30AM,8/6/2026 11:00AM,10:30am to 11:00am,Morning,"0-2, 2-5, 5+",All,Stories,"Stories, Music & Movement, Outdoor, Social & Play",1,,https://sccl.bibliocommons.com/events/uploads/images/full/9789d6ae7a5db8da406ba9e1d3837e1e/Early Learning & Storytime.jpg,https://sccl.bibliocommons.com/events/69b835bbb48451fc3c094405,,,TRUE,FALSE,TRUE,,,,,,,-122.1133,📍 Los Altos Library,Los Altos Library · Los Altos,"Join the Children's Librarians for a fun, interactive 25-minute toddler storytime for early walkers, 1s, and 2s in the Orchard Room on Wednesday and Thursday mornings.",FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,8/6 · 10:30 AM–11:00 AM,Toddler Storytime,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Toddler%20Storytime&dates=20260806T103000/20260806T110000&details=%F0%9F%93%8D%20Los%20Altos%20Library&location=Los%20Altos%20Library,,,,,
,Preschool Storytime,"Join us for stories, music, movement and more at our preschool storytime in the Orchard Room on Thursday afternoons at 3:30 p.m.
 
 Preschool storytime is suitable for children 3-5 and their caregivers.
 
 For accessibility accommodations...",Los Altos Library,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,8/6/2026,3:30pm to 4:00pm,8/6/2026 3:30PM,8/6/2026 4:00PM,3:30pm to 4:00pm,Late afternoon,"0-2, 2-5, 5+",All,Stories,"Stories, Music & Movement",1,,https://sccl.bibliocommons.com/events/uploads/images/full/9789d6ae7a5db8da406ba9e1d3837e1e/Early Learning & Storytime.jpg,https://sccl.bibliocommons.com/events/69b835b92866a5b488426bd8,,,TRUE,FALSE,TRUE,,,,,,,-122.1133,📍 Los Altos Library,Los Altos Library · Los Altos,"Join us for stories, music, movement and more at our preschool storytime in the Orchard Room on Thursday afternoons at 3:30 p.",FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,8/6 · 3:30 PM–4:00 PM,Preschool Storytime,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Preschool%20Storytime&dates=20260806T153000/20260806T160000&details=%F0%9F%93%8D%20Los%20Altos%20Library&location=Los%20Altos%20Library,,,,,
,Board Game Sunday!,"Everyone is invited to play board games!
 
 Join us on the second Sunday of the month from 2:00 PM to 3:30 PM.
 
 We have board games for all ages: adults, teens, and children.
 
 Come with friends & family!
 
 (The room closes at 3:30 PM, so...",Los Altos Library,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,8/9/2026,2:00pm to 3:30pm,8/9/2026 2:00PM,8/9/2026 3:30PM,2:00pm to 3:30pm,After lunch,"0-2, 2-5, 5+",All,Build & Explore,"Build & Explore, Social & Play",4,,https://sccl.bibliocommons.com/events/uploads/images/full/f00ce3e9afd5f0b0c0a1198e0b2103aa/kssboardgame;Header(1).png,https://sccl.bibliocommons.com/events/6970253094297d3600a66ca0,,,TRUE,FALSE,TRUE,,,,,,,-122.1133,📍 Los Altos Library,Los Altos Library · Los Altos,Everyone is invited to play board games! Join us on the second Sunday of the month from 2:00 PM to 3:30 PM.,FALSE,FALSE,TRUE,This weekend,FALSE,FALSE,8/9 · 2:00 PM–3:30 PM,Board Game Sunday!,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Board%20Game%20Sunday%21&dates=20260809T140000/20260809T153000&details=%F0%9F%93%8D%20Los%20Altos%20Library&location=Los%20Altos%20Library,,,,,
,Bilingual Spanish Family Storytime / Hora de cuentos bilingüe para familias,"Join us for stories, songs, and movement in Spanish and English on Tuesday mornings at 10:30 AM! This program is designed for children up to age 5 and their caregivers, and will be held indoors in the Orchard Room.
 
 ¡Venga a la biblioteca...",Los Altos Library,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,8/11/2026,10:30am to 11:00am,8/11/2026 10:30AM,8/11/2026 11:00AM,10:30am to 11:00am,Morning,"0-2, 2-5, 5+",All,Stories,"Stories, Music & Movement, Classes",1,,https://sccl.bibliocommons.com/events/uploads/images/full/0843753b121ce38b9c23bf54bbc99b14/BilingualStoryTimeBiblioBanner-gc.png,https://sccl.bibliocommons.com/events/69b835d42866a5b488426c00,,,TRUE,FALSE,TRUE,,,,,,,-122.1133,📍 Los Altos Library,Los Altos Library · Los Altos,"Join us for stories, songs, and movement in Spanish and English on Tuesday mornings at 10:30 AM! This program is designed for children up to age 5 and their caregivers, and will be held indoors in the Orchard Room.",FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,8/11 · 10:30 AM–11:00 AM,Bilingual Spanish Family Storytime / Hor...,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Bilingual%20Spanish%20Family%20Storytime%20%2F%20Hora%20de%20cuentos%20biling%C3%BCe%20para%20familias&dates=20260811T103000/20260811T110000&details=%F0%9F%93%8D%20Los%20Altos%20Library&location=Los%20Altos%20Library,,,,,
,Bilingual Mandarin Family Storytime / 中英雙語故事時間,"Join us for a fun-filled storytime featuring movement, singing, and action! These 30-minute sessions focus on early literacy by sharing stories and songs in both English and Mandarin Chinese.歡迎小朋友來到故事時間，這是以半小時的雙中英語故事書, 兒歌, 手指謠,...",Los Altos Library,"13 S. San Antonio Road, Los Altos, CA 94022",Los Altos,8/11/2026,1:00pm to 1:30pm,8/11/2026 1:00PM,8/11/2026 1:30PM,1:00pm to 1:30pm,After lunch,"0-2, 2-5, 5+",All,Stories,"Stories, Music & Movement",1,,https://sccl.bibliocommons.com/events/uploads/images/full/9789d6ae7a5db8da406ba9e1d3837e1e/Early Learning & Storytime.jpg,https://sccl.bibliocommons.com/events/69b835d281b67dfe32acec7e,,,TRUE,FALSE,TRUE,,,,,,,-122.1133,📍 Los Altos Library,Los Altos Library · Los Altos,"Join us for a fun-filled storytime featuring movement, singing, and action! These 30-minute sessions focus on early literacy by sharing stories and songs in both English and Mandarin Chinese.",FALSE,FALSE,FALSE,Coming up,FALSE,FALSE,8/11 · 1:00 PM–1:30 PM,Bilingual Mandarin Family Storytime / 中英...,https://calendar.google.com/calendar/render?action=TEMPLATE&text=Bilingual%20Mandarin%20Family%20Storytime%20%2F%20%E4%B8%AD%E8%8B%B1%E9%9B%99%E8%AA%9E%E6%95%85%E4%BA%8B%E6%99%82%E9%96%93&dates=20260811T130000/20260811T133000&details=%F0%9F%93%8D%20Los%20Altos%20Library&location=Los%20Altos%20Library,,,,,
